epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.1866,2.23107,11.868,2.15034,3.64501,2.30408,0.66667,0.1,0.38167,0.28767,0,0,0,0,0.9821,13.1411,2.15896,2.07898,1.14364,4e-05,4e-05,4e-05
2,9.1426,1.8087,11.9496,2.12802,3.39615,2.07383,1,0.3,0.65,0.55975,0,0,0,0,1.10496,13.0955,2.16304,1.22477,1.24062,9.9934e-05,9.9934e-05,9.9934e-05
3,11.352,1.86298,12.1545,2.14419,3.10124,1.93104,1,0.65,0.825,0.64379,0,0,0,0,1.25726,13.1107,2.16339,0.61174,1.33704,0.000159789,0.000159789,0.000159789
4,13.205,1.83337,11.7658,2.12628,3.35947,1.94327,0.98303,0.9,0.94711,0.65678,0,0,0,0,1.77188,13.1444,2.15908,0.7984,1.76417,0.000219564,0.000219564,0.000219564
5,15.2325,1.75969,10.4063,2.12218,2.43794,1.83471,0.95,0.95,0.9735,0.67553,0,0,0,0,2.00046,13.0315,2.15565,0.90531,2.15676,0.000279261,0.000279261,0.000279261
6,17.1176,1.99541,11.3742,2.13067,2.62717,1.96176,0.94359,0.95,0.96964,0.69432,0,0,0,0,2.03027,13.012,2.15759,0.84853,2.19334,0.000338878,0.000338878,0.000338878
7,19.0929,1.65696,9.87374,2.1257,1.83306,1.80517,0.94301,0.95,0.97091,0.70217,0,0,0,0,1.97679,12.9345,2.15761,0.91775,2.12756,0.000398416,0.000398416,0.000398416
8,20.8058,1.74805,9.26414,2.09115,2.06753,1.84699,0.9412,0.95,0.96841,0.71206,0,0,0,0,1.89023,12.8279,2.15992,1.09616,2.0208,0.000457875,0.000457875,0.000457875
9,22.5678,1.81975,9.84584,2.14009,2.10607,1.82046,0.88813,0.95,0.94089,0.67142,0,0,0,0,1.98476,12.8756,2.15866,1.37041,2.13618,0.000517254,0.000517254,0.000517254
10,24.3338,1.78395,9.16811,2.09488,1.89911,1.83746,0.80129,0.95,0.91099,0.64681,0,0,0,0,2.175,12.815,2.16414,1.47247,2.34089,0.000576555,0.000576555,0.000576555
11,26.2818,1.47295,9.99664,2.09904,1.51918,1.79378,0.8456,0.9,0.89414,0.63673,0,0,0,0,2.38668,12.625,2.17458,1.13003,2.55064,0.000635776,0.000635776,0.000635776
12,29.467,1.52581,10.1466,2.09674,1.55104,1.70583,0.90413,0.9,0.96352,0.68343,0,0,0,0,2.12363,12.4822,2.17831,0.95831,2.12504,0.000694918,0.000694918,0.000694918
13,31.688,1.21612,9.45012,2.06576,1.22524,1.65536,1,0.79477,0.89382,0.69142,0,0,0,0,1.32787,12.4024,2.16425,0.73708,1.40045,0.000753981,0.000753981,0.000753981
14,34.2997,1.60462,11.2476,2.10601,1.3224,1.74851,0.94737,0.9,0.94184,0.63461,0,0,0,0,1.46332,12.3869,2.1504,0.8333,1.49873,0.000812964,0.000812964,0.000812964
15,35.9527,1.51757,10.3499,2.05321,1.54187,1.67071,0.6,0.15,0.403,0.14785,0,0,0,0,2.78111,13.1732,2.06164,3.04823,3.49438,0.000871869,0.000871869,0.000871869
16,37.6877,1.50054,11.9288,2.07856,1.58694,1.72529,1,0.05,0.525,0.0525,0,0,0,0,4.34061,14.0168,2.03472,3.09537,10.6538,0.000930694,0.000930694,0.000930694
17,39.6737,1.50233,10.3738,2.09117,1.32953,1.77607,0.66667,0.1,0.38167,0.34033,0,0,0,0,4.77773,13.4834,1.90723,3.05877,13.222,0.00098944,0.00098944,0.00098944
18,41.6897,1.89743,9.48606,2.06862,1.83499,1.94352,1,0.15,0.575,0.48333,0,0,0,0,4.23969,13.0795,1.90961,2.62074,7.16447,0.00104811,0.00104811,0.00104811
19,43.3037,2.05813,10.6527,2.09626,2.00096,2.0729,1,0.05,0.525,0.4725,0,0,0,0,3.32194,12.6932,2.02458,2.40449,3.63524,0.00110669,0.00110669,0.00110669
20,45.0127,1.75906,10.1936,2.06878,1.53531,1.81537,0.77085,0.05,0.285,0.1995,0,0,0,0,3.55427,12.7031,2.06656,3.24798,4.29926,0.0011652,0.0011652,0.0011652
21,47.4517,1.53465,10.8496,2.03367,1.44132,1.81128,0.33333,0.05,0.175,0.14,0,0,0,0,3.34187,12.6583,2.0797,3.65674,4.5631,0.00122363,0.00122363,0.00122363
22,49.3037,1.49915,8.585,2.05147,1.4283,1.72741,0.75,0.15,0.43125,0.35925,0,0,0,0,3.81222,12.6725,2.09853,2.79059,4.99354,0.00128198,0.00128198,0.00128198
23,51.1457,1.39523,9.18204,2.02988,1.57779,1.7822,0.54546,0.1,0.30583,0.22758,0,0,0,0,3.44996,12.7599,2.09562,2.3681,4.11525,0.00134025,0.00134025,0.00134025
24,53.8075,2.15771,9.0977,2.05382,1.88869,2.07162,0.66667,0.1,0.39833,0.3005,0,0,0,0,4.02407,13.1187,2.06141,2.74833,4.67818,0.00139844,0.00139844,0.00139844
25,55.8525,1.88009,10.922,2.06182,1.72451,1.94462,0.78838,0.1,0.39833,0.2425,0,0,0,0,2.90819,13.546,1.85061,3.22586,3.12179,0.00145656,0.00145656,0.00145656
26,57.6275,1.81999,8.72999,1.99158,1.67389,1.75761,0.28622,0.05,0.111,0.0999,0,0,0,0,3.85277,13.5567,1.88976,2.55629,4.63,0.00151459,0.00151459,0.00151459
27,59.6195,1.79162,10.8911,2.04496,1.63402,1.84747,0.51012,0.35,0.36869,0.20454,0,0,0,0,3.34864,13.538,1.91786,4.329,4.26046,0.00157254,0.00157254,0.00157254
28,61.5495,1.59206,11.1043,1.98705,1.37907,1.78671,0.23489,0.2,0.11768,0.04632,0,0,0,0,4.55367,13.1091,2.05187,6.06307,6.47473,0.00163042,0.00163042,0.00163042
29,63.3595,2.23059,10.3878,2.02169,1.97302,2.04792,0.23489,0.2,0.11768,0.04632,0,0,0,0,4.55367,13.1091,2.05187,6.06307,6.47473,0.00168821,0.00168821,0.00168821
30,65.5185,2.01482,11.2027,2.01153,1.96155,2.01876,0.23489,0.2,0.11768,0.04632,0,0,0,0,5.1408,13.3706,2.2058,4.99282,6.59833,0.00174593,0.00174593,0.00174593
31,67.5415,1.69287,10.8577,1.99626,1.44922,1.719,0.03605,0.05,0.01881,0.00188,0,0,0,0,4.81087,13.1235,2.09667,5.53078,7.66243,0.00180357,0.00180357,0.00180357
32,69.3005,1.38045,9.07477,1.89761,1.32853,1.60829,0.02719,0.05,0.01299,0.0013,0,0,0,0,4.82666,13.1416,2.11869,6.89337,7.89985,0.00186113,0.00186113,0.00186113
33,71.0715,2.21216,9.73011,1.92297,1.76748,2.0078,0.02719,0.05,0.01299,0.0013,0,0,0,0,4.82666,13.1416,2.11869,6.89337,7.89985,0.0019186,0.0019186,0.0019186
34,74.4185,1.88754,10.0725,1.93261,1.78523,1.80521,0.13812,0.05,0.04687,0.02165,0,0,0,0,4.38893,12.7204,1.91839,7.67923,6.35333,0.00195644,0.00195644,0.00195644
35,76.5248,1.66498,9.51383,1.91577,1.68556,1.81506,0.08566,0.1,0.04696,0.00695,0,0,0,0,3.67007,12.6402,1.73331,4.55192,5.01792,0.00195512,0.00195512,0.00195512
36,78.4739,1.77505,11.7475,1.87575,1.59393,1.86537,0.5,0.25,0.32833,0.17058,0,0,0,0,3.39513,13.1883,1.51114,2.66497,4.44319,0.0019538,0.0019538,0.0019538
37,80.269,1.86434,9.77271,1.95302,1.46558,1.86494,0.5,0.25,0.32833,0.17058,0,0,0,0,3.39513,13.1883,1.51114,2.66497,4.44319,0.00195248,0.00195248,0.00195248
38,81.9119,1.97643,10.1522,1.96261,1.58522,1.80676,0.5,0.3,0.33841,0.20005,0,0,0,0,2.58937,13.0102,1.14797,2.4256,3.08607,0.00195116,0.00195116,0.00195116
39,83.4749,1.72434,11.1776,1.97651,1.60384,1.69569,0.36364,0.4,0.28984,0.09308,0,0,0,0,3.75833,12.7679,1.62673,3.04207,4.34191,0.00194984,0.00194984,0.00194984
40,85.0589,2.05536,9.95399,1.95061,1.80885,1.86099,0.08016,0.15,0.05196,0.01182,0,0,0,0,3.81767,13.2346,1.78355,6.57946,4.50384,0.00194852,0.00194852,0.00194852
41,87.1141,2.41502,9.43841,1.95085,2.3935,2.4551,0.08016,0.15,0.05196,0.01182,0,0,0,0,3.81767,13.2346,1.78355,6.57946,4.50384,0.0019472,0.0019472,0.0019472
42,88.7975,1.99704,10.8683,1.98234,1.98841,1.94028,0.06667,0.15,0.03942,0.02572,0,0,0,0,2.37217,12.7178,1.82924,5.1864,2.52664,0.00194588,0.00194588,0.00194588
43,91.0515,1.54797,10.791,1.92261,1.74001,1.80604,0.45921,0.3,0.33304,0.24197,0,0,0,0,2.1523,12.4564,1.71771,4.49234,2.18894,0.00194456,0.00194456,0.00194456
44,92.7043,2.09848,10.593,1.99905,1.82798,1.95199,0.54016,0.65,0.5185,0.37657,0,0,0,0,2.24048,11.908,1.49894,3.69323,2.37043,0.00194324,0.00194324,0.00194324
45,94.4783,1.69872,9.52538,1.93222,1.61309,1.77611,0.54016,0.65,0.5185,0.37657,0,0,0,0,2.24048,11.908,1.49894,3.69323,2.37043,0.00194192,0.00194192,0.00194192
46,96.081,1.69568,10.9627,1.86948,1.67604,1.75188,0.4651,0.86982,0.61513,0.42724,0,0,0,0,2.57131,11.8937,1.32251,4.88646,3.56864,0.0019406,0.0019406,0.0019406
47,97.974,1.59978,11.5041,1.86284,1.48865,1.73236,0.32258,0.5,0.40118,0.28963,0,0,0,0,2.46717,12.452,1.31997,3.98269,2.85523,0.00193928,0.00193928,0.00193928
48,99.9884,1.53875,9.45535,1.84297,1.65966,1.80468,0.7801,0.55,0.65774,0.37147,0,0,0,0,2.30147,12.8348,1.16222,2.74467,2.48937,0.00193796,0.00193796,0.00193796
49,101.632,1.83488,10.6596,1.92965,1.6031,1.87501,0.7801,0.55,0.65774,0.37147,0,0,0,0,2.30147,12.8348,1.16222,2.74467,2.48937,0.00193664,0.00193664,0.00193664
50,103.044,1.77809,10.0446,1.82183,1.53882,1.69988,0.89796,0.8,0.87754,0.5177,0,0,0,0,2.08528,13.6856,0.97955,1.67526,2.56347,0.00193532,0.00193532,0.00193532
51,105.077,2.08119,7.61808,1.88924,1.69504,2.07877,1,0.85,0.925,0.63409,0,0,0,0,1.82874,14.3128,0.87151,1.59561,2.19347,0.001934,0.001934,0.001934
52,106.923,1.29726,10.7074,1.87519,1.22548,1.53377,0.74425,0.8,0.86269,0.62263,0,0,0,0,1.85996,14.155,0.72051,3.2588,2.45065,0.00193268,0.00193268,0.00193268
53,108.518,1.74153,9.63244,1.71963,1.55578,1.81257,0.74425,0.8,0.86269,0.62263,0,0,0,0,1.85996,14.155,0.72051,3.2588,2.45065,0.00193136,0.00193136,0.00193136
54,110.007,2.2288,10.8716,1.99092,1.7087,1.92164,0.41959,0.9,0.47555,0.33112,0.02748,0.05,0.00961,0.00096,2.0077,12.5523,0.90627,5.65821,2.43226,0.00193004,0.00193004,0.00193004
55,111.721,1.8744,9.71214,1.87576,1.60335,1.92209,0.18208,0.6,0.20159,0.14292,0,0,0,0,2.20215,12.523,1.05964,11.7267,2.65424,0.00192872,0.00192872,0.00192872
56,113.737,1.79071,9.84175,1.80693,1.5953,1.86486,0.15943,0.7,0.17386,0.09544,0,0,0,0,2.19636,12.7663,1.04438,13.6979,2.51077,0.0019274,0.0019274,0.0019274
57,115.276,1.80599,8.58158,1.8646,1.61553,1.86763,0.15943,0.7,0.17386,0.09544,0,0,0,0,2.19636,12.7663,1.04438,13.6979,2.51077,0.00192608,0.00192608,0.00192608
58,116.884,1.87824,9.06729,1.85199,1.57778,1.80375,0.38507,0.87697,0.47125,0.28119,0,0,0,0,2.61061,13.0224,0.95216,7.6796,3.07164,0.00192476,0.00192476,0.00192476
59,119.287,1.42156,9.01859,1.92709,1.82951,1.68004,0.85778,0.65,0.83382,0.56213,0,0,0,0,2.46795,13.2167,0.85853,3.55171,3.2185,0.00192344,0.00192344,0.00192344
60,121.209,1.66596,9.35365,1.8627,1.42379,1.76583,0.93459,0.85,0.90825,0.63574,0.06125,0.05,0.02848,0.00285,2.51428,13.5281,0.81968,2.13928,3.35733,0.00192212,0.00192212,0.00192212
61,123.202,1.49,8.94173,1.79168,1.29201,1.64433,0.93459,0.85,0.90825,0.63574,0.06125,0.05,0.02848,0.00285,2.51428,13.5281,0.81968,2.13928,3.35733,0.0019208,0.0019208,0.0019208
62,125.2,1.4339,9.44511,1.68032,1.54923,1.69651,1,0.95,0.975,0.71414,0,0,0,0,2.34862,13.3014,0.67741,1.4827,2.80267,0.00191948,0.00191948,0.00191948
